                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.3162,                0.66073,                0.83531,                0.90691,                0.40669,                0.48707,                0.21665,                 1.7283,                  1.674,                0.95527,              0.0017723,              0.0017723,              0.0017723
                    118,                 1.2939,                0.65691,                 0.8321,                0.64416,                0.45833,                0.45558,                0.20776,                 1.8755,                 2.0931,                0.98384,              0.0017703,              0.0017703,              0.0017703
                    119,                 1.2893,                0.66189,                0.82175,                0.53902,                0.41667,                 0.4217,                0.18928,                 1.9708,                 2.2934,                 1.0005,              0.0017683,              0.0017683,              0.0017683
                    120,                 1.3187,                0.63685,                0.82878,                0.49259,                0.45833,                0.45186,                 0.2031,                 1.9662,                 1.9868,                 1.0033,              0.0017664,              0.0017664,              0.0017664
                    121,                 1.3568,                0.64694,                0.82608,                0.50511,                0.41667,                0.40487,                0.20938,                 2.0033,                  2.231,                 1.0445,              0.0017644,              0.0017644,              0.0017644
                    122,                 1.2156,                0.59606,                0.81382,                0.45655,                0.41667,                0.36199,                0.20004,                 1.6829,                 1.6152,                0.96259,              0.0017624,              0.0017624,              0.0017624
                    123,                 1.2157,                0.63071,                0.82496,                0.69356,                0.33333,                 0.4339,                0.21824,                 1.6133,                 1.4671,                0.94345,              0.0017604,              0.0017604,              0.0017604
                    124,                 1.3345,                0.63941,                0.83316,                 0.4776,                0.33333,                0.34659,                0.17206,                 1.6793,                 1.5624,                0.95337,              0.0017584,              0.0017584,              0.0017584
                    125,                 1.3452,                0.64375,                 0.8323,                 0.7851,                  0.375,                0.49016,                0.24458,                 1.6386,                0.97531,                0.92721,              0.0017565,              0.0017565,              0.0017565
                    126,                 1.2067,                0.60096,                0.83291,                0.89877,                0.37039,                0.50878,                0.29479,                  1.527,                0.89844,                0.94007,              0.0017545,              0.0017545,              0.0017545
                    127,                 1.2125,                0.59525,                0.83341,                0.80954,                0.53179,                0.59831,                0.30878,                 1.6288,                0.62969,                0.94827,              0.0017525,              0.0017525,              0.0017525
                    128,                 1.2521,                0.62965,                 0.8211,                0.78623,                0.45833,                0.52836,                0.29331,                 1.6184,                 1.4954,                0.95312,              0.0017505,              0.0017505,              0.0017505
                    129,                 1.2864,                0.61853,                0.82509,                0.59577,                    0.5,                0.53685,                0.25211,                  1.671,                 1.5359,                0.95415,              0.0017485,              0.0017485,              0.0017485
                    130,                 1.1792,                0.59305,                 0.8244,                0.88579,                0.33333,                0.45984,                0.24105,                 1.5837,                 1.8405,                0.96666,              0.0017466,              0.0017466,              0.0017466
                    131,                 1.2281,                0.58918,                0.81392,                0.82551,                0.41667,                0.48663,                0.19059,                 1.9019,                 1.8602,                0.96836,              0.0017446,              0.0017446,              0.0017446
                    132,                 1.1866,                0.56637,                0.81392,                0.60903,                0.45833,                0.51173,                0.23243,                  1.774,                 1.0769,                0.94086,              0.0017426,              0.0017426,              0.0017426
                    133,                 1.2547,                 0.5869,                0.82369,                0.60105,                    0.5,                0.50623,                0.26656,                 1.5348,                0.95412,                0.92046,              0.0017406,              0.0017406,              0.0017406
